Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm
0,130,130,0,0,-1,260,0,0,25.9247616000000107,22,-0.0729999999999999954,0,0.146137667645714481,0,0,-0,0,-1.5,0.320000000000000007,0.849999999999999978,101324.613599999997,29.9212178196185867,0.15185387364528502,1,0,0,0
0.0499998,129.999457457211321,129.999457457211321,0,0,-1,259.998914914422642,0,0,0.616778087762570482,22,0.0608255338566200676,2783.82848263237429,0.837175800897057232,0,16.651618165874396,447.549444664518091,0.0212692380760639704,198.244823825503545,0.320000000000000007,0.849999999999999978,86934.9535560410732,25.6719427695772673,0.15185387364528502,1,0,0,0
0.0999996,129.998940905497989,129.998940905497989,0,0,-1,259.997881810995978,0,0,0.617221907269581149,22,0.0607944664911293162,2783.12993756041033,0.837319918303533139,0,16.6361107660299297,447.451688715518969,0.0202288175383299254,185.998106832815466,0.320000000000000007,0.849999999999999978,83100.3158168622322,24.5395719963093981,0.15185387364528502,1,0,0,0
0.1499994,129.998450272602952,129.998450272602952,0,0,-1,259.996900545205904,0,0,0.618689742759614858,22,0.0606917180068269613,2776.33834224138582,0.835638027801259509,0,16.5421812060006488,444.824909347302707,0.0191961951148248017,174.025325430781351,0.320000000000000007,0.849999999999999978,79453.9317988721596,23.4627926573131624,0.15185387364528502,1,0,0,0
0.1999992,129.997985217490793,129.997985217490793,0,0,-1,259.995970434981587,0,0,0.621029097959865828,22,0.0605279631428093934,2764.28954991917271,0.83237838782908502,0,16.3820183875337335,440.046810808126565,0.0181810494167783943,162.414651556962497,0.320000000000000007,0.849999999999999978,75987.378456360675,22.4391174222505043,0.15185387364528502,1,0,0,0
0.249999,129.997545190504894,129.997545190504894,0,0,-1,259.995090381009788,0,0,0.624130587311333418,22,0.060310858888206656,2747.72691430943314,0.827762946241879738,0,16.1659016017334949,433.456603663824922,0.0171908292130230692,151.230284527797949,0.320000000000000007,0.849999999999999978,72692.5471606771316,21.4661518083254457,0.15185387364528502,1,0,0,0
0.2999988,129.997129483504125,129.997129483504125,0,0,-1,259.99425896700825,0,0,0.627911782185187173,22,0.0600461752470368981,2727.3093647096448,0.82198908382931779,0,15.9026980647101936,425.358459052318551,0.0162311298906007671,140.516907350423878,0.320000000000000007,0.849999999999999978,69561.6449923725886,20.5415945618544242,0.15185387364528502,1,0,0,0
0.3499986,129.996737271364282,129.996737271364282,0,0,-1,259.993474542728563,0,0,0.63231035021191595,22,0.0597382754851658801,2703.61951227835152,0.815231788292485771,0,15.6000674200282958,416.022754582900234,0.0153060180779295545,130.303449544197264,0.320000000000000007,0.849999999999999978,66587.1926084307634,19.6632370284583402,0.15185387364528502,1,0,0,0
0.3999984,129.996367646098179,129.996367646098179,0,0,-1,259.992735292196357,0,0,0.637270945559723412,22,0.0593910338108193589,2677.17085733013391,0.807645252117758505,0,15.2649376886848671,405.691784580693934,0.0144183060327927846,120.606219260054644,0.320000000000000007,0.849999999999999978,63762.0193796333187,18.8289617171236863,0.15185387364528502,1,0,0,0
0.4499982,129.996019644735497,129.996019644735497,0,0,-1,259.992039289470995,0,0,0.642747248427799844,22,0.0590076926100540078,2648.41481589242494,0.799365123306134628,0,14.9034133674717424,394.578973425882168,0.0135697852183323531,111.431518072699589,0.320000000000000007,0.849999999999999978,61079.256871462967,18.036740375109396,0.15185387364528502,1,0,0,0
0.499998,129.995692271893347,129.995692271893347,0,0,-1,259.991384543786694,0,0,0.648695807489465981,22,0.0585912934757373757,2617.74719847435927,0.79051020146774531,0,14.5210095457447181,382.872792027690366,0.0127614236110107932,102.777808595336808,0.320000000000000007,0.849999999999999978,58532.3310573714116,17.2846316885203102,0.15185387364528502,1,0,0,0
0.5499978,129.995425984990845,129.995425984990845,0,0,-1,259.990851969981691,0,0,0.742153025837893998,22,0.0507846974162105974,2218.8542156722292,0.672925553767789286,0,9.53839025774539095,237.481009500520742,0.0106515187054603937,88.6025539946606955,0.320000000000000007,0.849999999999999978,57869.9780893814459,17.0890384686247394,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
0.5999976,129.995159698088429,129.995159698088429,0,0,-1,259.990319396176858,0,0,0.742153007566581868,22,0.0507846992433418146,2218.85421421469937,0.672925552510157066,0,9.53839078949086172,237.481017731431791,0.0106515186994067621,88.602553956976152,0.320000000000000007,0.849999999999999978,57869.9780858603553,17.0890384675849596,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
