Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
0,-190.962462189599535,0.000339075937601157618,-1295.65334585396295,190.962462189599535,0.000339075937619705118,1295.65334585396295,0,0,0,-190.962462189599535,0.000339075937601157618,-1295.65334585396295,-0.517393786472899686,456.444478600573859,2884.91448244290223,-67.2788879444766366,0,0,0,456.44449536883576,2884.91448244290223,-67.2788879444766366
0.0499998,-189.781964085238172,-0.224243995345649844,-1648.35829102770822,199.859334551894591,-0.227357932578339056,1647.16680833425357,0,0,0,257.767480579279891,-0.224243995345649844,-1648.35829102770822,-0.636054286080611431,408.449900215280422,2119.20340996350797,-80.3697561034617678,0,0,0,771.205157149605384,2447.88506166529942,125.738647183076935
0.0999996,-181.075977235569979,-0.233109993806061649,-2124.38041442870872,212.489637717257352,-0.253008996144607756,2121.46854771161179,0,0,0,266.375711479949018,-0.233109993806061649,-2124.38041442870872,-0.821616305202146791,402.068758588760772,1392.56018919276312,-93.8327744002861266,0,0,0,764.826139176667084,1720.15234199790257,150.115389381008271
0.1499994,-165.081973499483354,-0.0773429127899587232,-2643.77801793537674,229.856843699307916,-0.131116941372807827,2638.9354077520843,0,0,0,279.742935847819354,-0.0773429127899587232,-2643.77801793537674,-1.02915445798085248,414.542721570367917,771.856206476708167,-106.227413562950886,0,0,0,775.438608751160473,1096.29205746274693,163.682266757062592
0.1999992,-140.777752380053528,0.201684746709281743,-3150.84648339638807,248.356654475025465,0.0963709982982814406,3144.19639034585498,0,0,0,299.269058428073038,0.201684746709281743,-3150.84648339638807,-1.23491856783205978,424.133554937882764,262.078247989571423,-116.841083701291808,0,0,0,781.577400587794614,581.658892701355626,168.509309614638966
0.249999,-113.980521081575461,0.564554840863632279,-3608.57400859195695,269.026274763827701,0.390562410456454678,3600.33650709781887,0,0,0,319.476082582249433,0.564554840863632279,-3608.57400859195695,-1.42289622235060786,419.217383074227996,-128.655764413232532,-127.10595174084412,0,0,0,771.866006318610744,184.700824137571487,164.834590308650689
0.2999988,-85.1839804037083184,0.968228164049519835,-3995.8949722766979,287.084598847504935,0.714654394255428871,3986.47912321424974,0,0,0,340.174478648610261,0.968228164049519835,-3995.8949722766979,-1.58366860618560512,395.407717959995239,-411.502556215239451,-136.454585036584291,0,0,0,742.140735631511006,-105.440301770970279,155.096741356584715
0.3499986,-59.9559242063167801,1.37603869473693496,-4303.75806420525805,303.632112438005379,1.0372398157449414,4293.45275343419962,0,0,0,356.066830376583425,1.37603869473693496,-4303.75806420525805,-1.71285544638865939,352.994834700861247,-592.021980428492952,-146.138142437758034,0,0,0,692.890648920472586,-294.066334307520492,139.863898143377781
0.3999984,-39.2659363338565299,1.75147486006280717,-4532.55033641416503,316.753193823943604,1.3306098418152299,4521.63942361930276,0,0,0,366.425848246837404,1.75147486006280717,-4532.55033641416503,-1.81002759155683224,295.23803186942996,-688.266122459517646,-155.86262310253187,0,0,0,627.552637006273812,-399.001867970078422,121.154548731088425
0.4499982,-23.763508772169132,2.06483080547718023,-4688.89909485858334,325.903309907214975,1.57316582901591495,4677.61993404571695,0,0,0,370.815464653713036,2.06483080547718023,-4688.89909485858334,-1.87752042593492097,226.871029123768494,-718.359339818212902,-165.382160869506833,0,0,0,551.016886118847538,-438.185570307519981,100.634203198419243
0.499998,-13.7326192636144242,2.29324582108209274,-4783.07181810938982,331.576568989472833,1.7478444937325599,4771.58503905539692,0,0,0,369.140172764075942,2.29324582108209274,-4783.07181810938982,-1.91925433755066255,152.988851424975792,-699.732350074478859,-174.476363592912378,0,0,0,468.516089622427046,-428.895849128831173,79.6521106534380579
0.5499978,-194.771606024070223,6.28330116866730748,-2471.04993553200757,245.228328088046283,6.28293423373552784,2466.55363495709662,0,0,0,42.7094034764505182,6.28330116866730748,-2471.04993553200757,-0.994581842883206391,-209.718647694681408,-174.684390757538495,-87.7058006228762537,0,0,0,0.0070026811180241566,0.000964993187210438919,-4.49270332580908871e-06
