Time,Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt
0,1999.9999999963,1999.9999999963,-6.921926966887671e-15,-2.058919473542247e-15,200,-0.1736481776669302,2.818375010831667e-17,-5.636750021663334e-17,0.984807753012208,0.3465337178477598,0.5855307477220864,0.723070255425847,-0.1193211279909135,-0.3465337178477598,-0.5855307477220864,-0.723070255425847,0.1193211279909135,8.3685368339804e-31,5.5649292764336e-15,47,47.19154643501,122,-7563336.540225657,12103868.620081,15305511.606302,-7563336.540225657,12103868.620081,15305511.606302,0,1999.9999999963,0,1999.99999999627471,609.599999998864519,1999.99999999627471,0.823647864398724172,47.1915464350104301,39614.6040509409722,46.9999999999999929,122,0,0,0,0
0.0499998,1999.9825526886,1999.9825526886,0.02017331066679193,0.1170128670890866,200.0006646903098,-0.1736536197984797,-0.0010361863655051,-3.952592548417473e-06,0.9848062482707338,0.3456929253717274,0.5857173719635096,0.723399318583682,-0.1188485902346423,-0.3456931420346832,-0.5857160531900558,-0.7234003863578173,0.118847960028824,0.3504080113661,-0.00089270516149687,46.999979149868,47.191525595485,121.99998887277,-7563381.26596837,12103847.22590635,15305506.39968489,-7563337.134771666,12103874.80223858,15305506.39968489,0.00020890287099719,1999.9825526886,0,1999.98255268856883,609.594682059475758,1999.98255268856883,0.823647500680383282,47.1915255954845634,39614.5611438052656,46.9999791498676913,121.999988872770999,0,0.844776000530563786,2.32102611082172183,2.4699815741582074
0.0999996,1999.9386309311,1999.9386309311,0.09426127510045101,0.4793062245428442,200.0064030365816,-0.1736982389352076,-0.00426202107073785,8.352046743996758e-05,0.9847896983577415,0.3430311806249681,0.5863474616178471,0.7243841126861927,-0.1174475230100028,-0.3430316088413972,-0.5863448204783874,-0.7243862505293865,0.1174462723028161,0.84781095323607,-0.0053655735915862,46.999958277557,47.191504734033,121.99997773385,-7563425.982753866,12103825.82282143,15305501.16817884,-7563337.720415986,12103880.97565107,15305501.16817884,0.00041780574199439,1999.9386309311,0,1999.93863093107939,609.581294707793063,1999.93863093107939,0.823647136579375161,47.1915047340334795,39614.4917352728226,46.9999582775569635,121.999977733849235,0,1.69043971218071709,4.64452111291348313,4.94258687534006924
0.1499994,1999.8836279064,1999.8836279064,0.2216254666054235,1.017356887256272,200.0195720755894,-0.1737922946058803,-0.009078996128026443,0.0003613924788841748,0.9847404122713795,0.3389870345406276,0.5873467670427864,0.7257961770644457,-0.1154620068090532,-0.3389876660047059,-0.587342797607988,-0.7257993892908697,0.1154601528654128,1.4050135974305,-0.013404102562931,46.999937383975,47.191483851424,121.9999665833,-7563470.696030249,12103804.41951517,15305495.92326783,-7563338.302606722,12103887.14900735,15305495.92326783,0.00062670861299158,1999.8836279064,0,1999.88362790644169,609.564529785883451,1999.88362790644169,0.823646772109075886,47.1914838514235768,39614.4112195645866,46.9999373839754853,121.999966583298345,0,2.53698630368292966,6.97038396386475778,7.41771930257273038
0.1999992,1999.8343362175,1999.8343362175,0.40260591667198,1.670062794430582,200.0420443349525,-0.1739395228987012,-0.01496240725465769,0.0009235071434525219,0.9846422273483268,0.3339406238282728,0.5886478886764154,0.7274358061679784,-0.1132010195127506,-0.3339414492909447,-0.5886425841364293,-0.7274400986195667,0.1131985843860493,1.9581164470726,-0.024295841795216,46.999916470649,47.191462949026,121.99995542096,-7563515.411616653,12103783.02537536,15305490.67761325,-7563338.887162872,12103893.33169527,15305490.67761325,0.00083561148398878,1999.8343362175,0,1999.83433621749282,609.549505679091794,1999.83433621749282,0.823646407293420535,47.1914629490262243,39614.3363910480548,46.9999164706490333,121.999955420957804,0,3.38442796234900145,9.29844481581058346,9.89522342003148658
0.249999,1999.8072038218,1999.8072038218,0.637603250812366,2.386744815236265,200.0752077267586,-0.1741398698624557,-0.02147725409058652,0.001847819114651793,0.9844849510508198,0.3282074948503955,0.5901938812686118,0.7291414397929831,-0.1109224216005718,-0.3282085059065345,-0.5901872350416408,-0.729146819443242,0.110919429949435,2.4641948983954,-0.03705599876215,46.999895540122,47.191442029235,121.99994424648,-7563560.135023442,12103761.64938463,15305485.44387826,-7563339.479594534,12103899.53269757,15305485.44387826,0.001044514354986,1999.8072038218,0,1999.8072038218379,609.541235724896183,1999.8072038218379,0.823646042174176252,47.1914420292345085,39614.2837007097842,46.9998955401224023,121.999944246477156,0,4.23279129395567022,11.6284203822063201,12.3748421303964626
0.2999988,1999.817112878,1999.817112878,0.9261592460733039,3.127609376111424,200.1198480242414,-0.1743901307436168,-0.02828095787946248,0.003188118372423507,0.9842652618181176,0.3220405274127355,0.5919370105999766,0.7307924494795532,-0.1088249510423261,-0.322041717734796,-0.5919290170626664,-0.7307989241190684,0.1088214285150654,2.8977706826472,-0.050607816387948,46.999874596117,47.191421095632,121.99993305928,-7563604.870981553,12103740.29938278,15305480.23387397,-7563340.084632277,12103905.75985427,15305480.23387397,0.0012534172259832,1999.817112878,0,1999.81711287796497,609.544256005203806,1999.81711287796497,0.823645676813885119,47.1914210956318243,39614.2680351378585,46.9998745961170243,121.999933059283237,0,5.08211981468188068,13.9598963956834581,14.8562010557828561
0.3499986,1999.8766721524,1999.8766721524,1.266546887586954,3.86326465396897,200.1761390487673,-0.1746847102353142,-0.03511868211123654,0.004971615067841188,0.9839853724626152,0.3156345387521546,0.5938371636470899,0.7323066371419469,-0.1070478874903512,-0.315635904780626,-0.5938278185237451,-0.7323142151275625,0.1070438596218761,3.2470538242634,-0.063931929791306,46.999853643342,47.19140015281,121.99992185845,-7563649.623185312,12103718.98171805,15305475.05799487,-7563340.705969977,12103912.0195138,15305475.05799487,0.0014623200969804,1999.8766721524,0,1999.87667215242982,609.562409672060653,1999.87667215242982,0.823645311292683924,47.1914001528096705,39614.3020088053963,46.9998536433420995,121.999921858446456,0,5.93248409657742215,16.2923486312893928,17.3388317912779222
0.3999984,1999.9959018491,1999.9959018491,1.655712145705452,4.573984258732665,200.2436945734074,-0.1750162139619182,-0.0418169269622084,0.007199865042305699,0.9836507669967255,0.309130458341023,0.5958604675895474,0.733635908898807,-0.1056741030908543,-0.309131999477407,-0.595849768054145,-0.7336445989521319,0.1056695946679454,3.5108070430961,-0.076128241645764,46.999832687416,47.191379206292,121.99991064269,-7563694.394192033,12103697.70108086,15305469.92496892,-7563341.346164456,12103918.31636687,15305469.92496892,0.0016712229679776,1999.9959018491,0,1999.99590184912086,609.59875088361207,1999.99590184912086,0.823644945706991427,47.1913792062924387,39614.395648717611,46.9998326874164931,121.999910642692925,0,6.78398085385257943,18.6251515986046137,19.8221798098664941
0.4499982,2000.1822284535,2000.1822284535,2.089445895770067,5.248341169365657,200.3217001046549,-0.1753762247157817,-0.04827197268780634,0.00985248244207273,0.9832679823156024,0.3026224844221486,0.5979780575338224,0.7347597556697709,-0.1047376535842836,-0.3026242028323256,-0.5979660021081276,-0.7347695667123453,0.1047326883846417,3.6951139831421,-0.086438033882165,46.999811734563,47.191358262232,121.99989941036,-7563739.185454719,12103676.46057554,15305464.84177762,-7563342.006668209,12103924.65351804,15305464.84177762,0.0018801258389747,2000.1822284535,0,2000.18222845345736,609.655543232613809,2000.18222845345736,0.823644580164180296,47.1913582622321357,39614.5563889046243,46.9998117345632735,121.999899410363227,0,7.63673606842428043,20.9576125496955683,22.3056375622789211
